pO2,pCO2,f1,f2
50.9,37.2,-0.00776362,-0.0108394
50.9,37.4,-0.00786769,-0.00976476
50.9,37.6,-0.00797164,-0.00869426
50.9,37.8,-0.00807549,-0.00762788
50.9,38,-0.00817922,-0.00656557
50.9,38.2,-0.00828284,-0.00550731
50.9,38.4,-0.00838635,-0.00445305
50.9,38.6,-0.00848974,-0.00340278
50.9,38.8,-0.00859302,-0.00235645
50.9,39,-0.00869619,-0.00131404
50.9,39.2,-0.00879924,-0.000275509
50.9,39.4,-0.00890218,0.000759171
50.9,39.6,-0.009005,0.00179003
50.9,39.8,-0.0091077,0.0028171
50.9,40,-0.00921029,0.00384041
50.9,40.2,-0.00931276,0.00485998
50.9,40.4,-0.00941511,0.00587586
50.9,40.6,-0.00951734,0.00688806
50.9,40.8,-0.00961946,0.00789662
50.9,41,-0.00972145,0.00890156
50.9,41.2,-0.00982333,0.00990291
50.9,41.4,-0.00992508,0.0109007
50.9,41.6,-0.0100267,0.011895
50.9,41.8,-0.0101282,0.0128857
50.9,42,-0.0102296,0.013873
50.9,42.2,-0.0103309,0.0148568
50.9,42.4,-0.010432,0.0158372
50.9,42.6,-0.010533,0.0168142
50.9,42.8,-0.0106339,0.0177878
50.9,43,-0.0107347,0.018758
50.9,43.2,-0.0108354,0.0197249
50.9,43.4,-0.0109359,0.0206885
50.9,43.6,-0.0110363,0.0216489
50.9,43.8,-0.0111366,0.0226059
50.9,44,-0.0112367,0.0235598
50.9,44.2,-0.0113367,0.0245104
50.9,44.4,-0.0114366,0.0254579
50.9,44.6,-0.0115364,0.0264022
50.9,44.8,-0.011636,0.0273433
50.9,45,-0.0117355,0.0282813
50.9,45.2,-0.0118349,0.0292162
50.9,45.4,-0.0119342,0.0301481
50.9,45.6,-0.0120333,0.0310769
50.9,45.8,-0.0121323,0.0320026
50.9,46,-0.0122312,0.0329254
50.9,46.2,-0.0123299,0.0338451
50.9,46.4,-0.0124285,0.0347619
50.9,46.6,-0.012527,0.0356758
50.9,46.8,-0.0126253,0.0365867
50.9,47,-0.0127235,0.0374947
50.9,47.2,-0.0128216,0.0383998
50.9,47.4,-0.0129196,0.039302
50.9,47.6,-0.0130174,0.0402014
50.9,47.8,-0.0131151,0.0410979
50.9,48,-0.0132126,0.0419916
50.9,48.2,-0.0133101,0.0428826
50.9,48.4,-0.0134074,0.0437707
50.9,48.6,-0.0135045,0.0446561
50.9,48.8,-0.0136016,0.0455388
50.9,49,-0.0136984,0.0464187
50.9,49.2,-0.0137952,0.0472959
50.9,49.4,-0.0138918,0.0481705
50.9,49.6,-0.0139883,0.0490423
50.9,49.8,-0.0140847,0.0499116
50.9,50,-0.0141809,0.0507781
50.9,50.2,-0.014277,0.0516421
50.9,50.4,-0.014373,0.0525035
50.9,50.6,-0.0144688,0.0533622
50.9,50.8,-0.0145645,0.0542184
50.9,51,-0.01466,0.0550721
50.9,51.2,-0.0147554,0.0559232
50.9,51.4,-0.0148507,0.0567718
50.9,51.6,-0.0149458,0.0576178
50.9,51.8,-0.0150408,0.0584614
50.9,52,-0.0151357,0.0593025
50.9,52.2,-0.0152305,0.0601412
50.9,52.4,-0.0153251,0.0609774
50.9,52.6,-0.0154195,0.0618112
50.9,52.8,-0.0155138,0.0626425
50.9,53,-0.015608,0.0634715
50.9,53.2,-0.0157021,0.064298
50.9,53.4,-0.015796,0.0651222
50.9,53.6,-0.0158898,0.0659441
50.9,53.8,-0.0159834,0.0667636
50.9,54,-0.0160769,0.0675807
